Date : 2023-11-05 23:03:59
Directory : c:\xampp\htdocs\EL_DORADO
Total : 2131 files,  732439 codes, 88751 comments, 103994 blanks, all 925184 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\package.js                                                   | JavaScript |         14 |          0 |          4 |         18 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\website.css                                                  | CSS        |        129 |          0 |         23 |        152 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\website.js                                                   | JavaScript |        133 |          1 |         46 |        180 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\website\index.html                                           | HTML       |        608 |          9 |        128 |        745 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\website\website.css                                          | CSS        |        129 |          0 |         23 |        152 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\daterangepicker\website\website.js                                           | JavaScript |        133 |          1 |         46 |        180 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\ekko-lightbox\ekko-lightbox.css                                              | CSS        |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\ekko-lightbox\ekko-lightbox.js                                               | JavaScript |        525 |         47 |         97 |        669 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\ekko-lightbox\ekko-lightbox.min.js                                           | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\fastclick\fastclick.js                                                       | JavaScript |        400 |        277 |        165 |        842 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\ActiveFilter.d.ts                                                  | TypeScript |          9 |          6 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\BrowserWindow.d.ts                                                 | TypeScript |          8 |          8 |          1 |         17 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\EventReceiver.d.ts                                                 | TypeScript |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterContainer.d.ts                                               | TypeScript |         24 |         12 |          1 |         37 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterContainer\FilterContainer.d.ts                               | TypeScript |         20 |          8 |          1 |         29 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterContainer\StyledFilterContainer.d.ts                         | TypeScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterContainer\index.d.ts                                         | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterContainer\styles.d.ts                                        | TypeScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterControls.d.ts                                                | TypeScript |         15 |          4 |          1 |         20 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItem.d.ts                                                    | TypeScript |         34 |         64 |          1 |         99 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItem\FilterItem.d.ts                                         | TypeScript |         20 |         24 |          1 |         45 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItem\StyledFilterItem.d.ts                                   | TypeScript |         16 |         14 |          1 |         31 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItem\index.d.ts                                              | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItem\styles.d.ts                                             | TypeScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItems.d.ts                                                   | TypeScript |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItems\FilterItems.d.ts                                       | TypeScript |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItems\StyledFilterItems.d.ts                                 | TypeScript |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterItems\index.d.ts                                             | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Filterizr.d.ts                                                     | TypeScript |         32 |         44 |          1 |         77 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterizrElement.d.ts                                              | TypeScript |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterizrOptions\FilterizrOptions.d.ts                             | TypeScript |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterizrOptions\defaultOptions.d.ts                               | TypeScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\FilterizrOptions\index.d.ts                                        | TypeScript |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Filterizr\Filterizr.d.ts                                           | TypeScript |         32 |         43 |          1 |         76 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Filterizr\index.d.ts                                               | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Filterizr\installAsJQueryPlugin.d.ts                               | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Spinner\Spinner.d.ts                                               | TypeScript |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Spinner\StyledSpinner.d.ts                                         | TypeScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Spinner\index.d.ts                                                 | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\Spinner\makeSpinner.d.ts                                           | TypeScript |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\StyledFilterizrElement.d.ts                                        | TypeScript |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\StyledFilterizrElements.d.ts                                       | TypeScript |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\animate.d.ts                                                       | TypeScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\config\cssEasingValuesRegexp.d.ts                                  | TypeScript |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\config\filterizrState.d.ts                                         | TypeScript |          8 |          3 |          1 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\config\index.d.ts                                                  | TypeScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\config\layout.d.ts                                                 | TypeScript |         10 |          3 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\filterizr.min.js                                                   | JavaScript |          2 |         10 |          0 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\getLayoutPositions.d.ts                                            | TypeScript |          4 |          6 |          1 |         11 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\index.d.ts                                                         | TypeScript |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\index.jquery.d.ts                                                  | TypeScript |          2 |          8 |          1 |         11 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\installAsJQueryPlugin.d.ts                                         | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\jquery.filterizr.min.js                                            | JavaScript |          3 |         26 |          0 |         29 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\Packer.d.ts                                                | TypeScript |         26 |          4 |          1 |         31 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getHorizontalLayoutPositions.d.ts                          | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getPackedLayoutPositions.d.ts                              | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getSameHeightLayoutPositions.d.ts                          | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getSameSizeLayoutPosition.d.ts                             | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getSameWidthLayoutPositions.d.ts                           | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\layouts\getVerticalLayoutPositions.d.ts                            | TypeScript |          4 |          4 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\Packer.d.ts                                    | TypeScript |         26 |          4 |          1 |         31 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\index.d.ts                                     | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeHorizontalLayoutPositions.d.ts             | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeLayoutPositions.d.ts                       | TypeScript |          3 |          4 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makePackedLayoutPositions.d.ts                 | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeSameHeightLayoutPositions.d.ts             | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeSameSizeLayoutPosition.d.ts                | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeSameWidthLayoutPositions.d.ts              | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\makeLayoutPositions\makeVerticalLayoutPositions.d.ts               | TypeScript |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\index.d.ts                                                   | TypeScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\BaseOptions.d.ts                                  | TypeScript |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\ContainerLayout.d.ts                              | TypeScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Destructible.d.ts                                 | TypeScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Dictionary.d.ts                                   | TypeScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Dimensions.d.ts                                   | TypeScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Options.d.ts                                      | TypeScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Position.d.ts                                     | TypeScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\RawOptions.d.ts                                   | TypeScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\RawOptionsCallbacks.d.ts                          | TypeScript |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Resizable.d.ts                                    | TypeScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\SpinnerOptions.d.ts                               | TypeScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\Styleable.d.ts                                    | TypeScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\types\interfaces\index.d.ts                                        | TypeScript |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils.d.ts                                                         | TypeScript |         43 |         97 |          1 |        141 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\allStringsOfArray1InArray2.d.ts                              | TypeScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\checkOptionForErrors.d.ts                                    | TypeScript |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\debounce.d.ts                                                | TypeScript |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\filterItemArraysHaveSameSorting.d.ts                         | TypeScript |          2 |          7 |          1 |         10 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\getDataAttributesOfHTMLNode.d.ts                             | TypeScript |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\getHTMLElement.d.ts                                          | TypeScript |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\index.d.ts                                                   | TypeScript |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\intersection.d.ts                                            | TypeScript |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\merge.d.ts                                                   | TypeScript |          2 |          3 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\noop.d.ts                                                    | TypeScript |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\setStyles.d.ts                                               | TypeScript |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\shuffle.d.ts                                                 | TypeScript |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\utils\sortBy.d.ts                                                  | TypeScript |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\filterizr\vanilla.filterizr.min.js                                           | JavaScript |          2 |         10 |          0 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\css\flag-icon.css                                              | CSS        |      1,562 |          0 |          1 |      1,563 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\css\flag-icon.min.css                                          | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ad.svg                                               | XML        |        148 |          0 |          1 |        149 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ae.svg                                               | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\af.svg                                               | XML        |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ag.svg                                               | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ai.svg                                               | XML        |        763 |          0 |          1 |        764 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\al.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\am.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ao.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\aq.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ar.svg                                               | XML        |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\as.svg                                               | XML        |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\at.svg                                               | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\au.svg                                               | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\aw.svg                                               | XML        |        186 |          0 |          1 |        187 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ax.svg                                               | XML        |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\az.svg                                               | XML        |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ba.svg                                               | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bb.svg                                               | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bd.svg                                               | XML        |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\be.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bf.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bg.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bh.svg                                               | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bi.svg                                               | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bj.svg                                               | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bl.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bm.svg                                               | XML        |         98 |          0 |          1 |         99 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bn.svg                                               | XML        |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bo.svg                                               | XML        |        678 |          0 |          1 |        679 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bq.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\br.svg                                               | XML        |         45 |          0 |          1 |         46 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bs.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bt.svg                                               | XML        |         89 |          0 |          1 |         90 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bv.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bw.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\by.svg                                               | XML        |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\bz.svg                                               | XML        |        145 |          0 |          1 |        146 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ca.svg                                               | XML        |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cc.svg                                               | XML        |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cd.svg                                               | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cf.svg                                               | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cg.svg                                               | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ch.svg                                               | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ci.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ck.svg                                               | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cl.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cm.svg                                               | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cn.svg                                               | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\co.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cr.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cu.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cv.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cw.svg                                               | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cx.svg                                               | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cy.svg                                               | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\cz.svg                                               | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\de.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\dj.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\dk.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\dm.svg                                               | XML        |        152 |          0 |          1 |        153 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\do.svg                                               | XML        |      6,745 |          0 |          1 |      6,746 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\dz.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ec.svg                                               | XML        |        138 |          0 |          1 |        139 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\ee.svg                                               | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\eg.svg                                               | XML        |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\eh.svg                                               | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\er.svg                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\es-ca.svg                                            | XML        |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\es.svg                                               | XML        |        547 |          0 |          1 |        548 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\et.svg                                               | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\eu.svg                                               | XML        |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\fi.svg                                               | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\fj.svg                                               | XML        |        125 |          0 |          1 |        126 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\fk.svg                                               | XML        |         93 |          0 |          1 |         94 |
| c:\xampp\htdocs\EL_DORADO\admin\dashboard\plugins\flag-icon-css\flags\1x1\fm.svg                                               | XML        |         11 |          0 |          1 |         12 |
